17
2023-01-01,Mumbai,32,60,Normal
2023-01-01,Delhi,MISSING,40,Error
2023-01-02,Mumbai,35,55,Normal
2023-01-02,Chennai,41,80,Heatwave
2023-01-03,Kolkata,28,-10,Normal
2023-01-04,Mumbai,Thirty,50,Error
2023-01-05,Delhi,15,45,Cold
2023-01-05,Chennai,N/A,85,Error
2023-01-06,Bangalore,22,50,Normal
2023-01-06,Mumbai,,60,Error
2023-01-07,Delhi,12,40,Cold
2023-01-07,Kolkata,30,MISSING,Error
2023-01-08,Chennai,38,75,Normal
2023-01-08,Bangalore,20,-5,Error
2023-01-09,Mumbai,34,65,Normal
2023-01-09,Delhi,18,N/A,Error
2023-01-10,Kolkata,29,55,Normal
